text,category
Urgent attention required for vaccination in the residential area. Complaint reference 45.,Health
People in the locality are concerned about medicine. Complaint reference 46.,Health
A serious problem related to sanitation has been observed. Complaint reference 47.,Health
Public safety is affected due to health center. Complaint reference 48.,Health
Citizens complained about health center causing inconvenience. Complaint reference 49.,Health
Citizens complained about vaccination causing inconvenience. Complaint reference 50.,Health
Repeated requests have been made to resolve the medicine issue. Complaint reference 51.,Health
Multiple complaints received regarding dengue this week. Complaint reference 52.,Health
Public safety is affected due to doctor. Complaint reference 53.,Health
Public safety is affected due to doctor. Complaint reference 54.,Health
A serious problem related to sanitation has been observed. Complaint reference 55.,Health
Repeated requests have been made to resolve the ambulance issue. Complaint reference 56.,Health
Urgent attention required for health center in the residential area. Complaint reference 57.,Health
Urgent attention required for Hospital in the residential area. Complaint reference 58.,Health
Citizens complained about ambulance causing inconvenience. Complaint reference 59.,Health
People in the locality are concerned about medical waste. Complaint reference 60.,Health
Public safety is affected due to clinic. Complaint reference 61.,Health
People in the locality are concerned about medical waste. Complaint reference 62.,Health
Repeated requests have been made to resolve the health center issue. Complaint reference 63.,Health
Repeated requests have been made to resolve the vaccination issue. Complaint reference 64.,Health
Urgent attention required for Hospital in the residential area. Complaint reference 65.,Health
Multiple complaints received regarding dengue this week. Complaint reference 66.,Health
Urgent attention required for sanitation in the residential area. Complaint reference 67.,Health
Public safety is affected due to vaccination. Complaint reference 68.,Health
The condition of ambulance has worsened over the last month. Complaint reference 69.,Health
Multiple complaints received regarding Hospital this week. Complaint reference 70.,Health
Citizens complained about dengue causing inconvenience. Complaint reference 71.,Health
Urgent attention required for dengue in the residential area. Complaint reference 72.,Health
Repeated requests have been made to resolve the vaccination issue. Complaint reference 73.,Health
A serious problem related to doctor has been observed. Complaint reference 74.,Health
The local authority should inspect the ambulance immediately. Complaint reference 75.,Health
Repeated requests have been made to resolve the ambulance issue. Complaint reference 76.,Health
Residents reported a dengue issue near the central market. Complaint reference 77.,Health
The local authority should inspect the doctor immediately. Complaint reference 78.,Health
Residents reported a health center issue near the central market. Complaint reference 79.,Health
The local authority should inspect the clinic immediately. Complaint reference 80.,Health
A serious problem related to vaccination has been observed. Complaint reference 81.,Health
A serious problem related to Hospital has been observed. Complaint reference 82.,Health
Urgent attention required for doctor in the residential area. Complaint reference 83.,Health
The condition of clinic has worsened over the last month. Complaint reference 84.,Health
Repeated requests have been made to resolve the clinic issue. Complaint reference 85.,Health
Citizens complained about ambulance causing inconvenience. Complaint reference 86.,Health
Repeated requests have been made to resolve the health center issue. Complaint reference 87.,Health
Multiple complaints received regarding ambulance this week. Complaint reference 88.,Health
People in the locality are concerned about dengue. Complaint reference 89.,Health
A serious problem related to medical waste has been observed. Complaint reference 90.,Health
A serious problem related to dengue has been observed. Complaint reference 91.,Health
Public safety is affected due to vaccination. Complaint reference 92.,Health
The condition of sanitation has worsened over the last month. Complaint reference 93.,Health
The condition of dengue has worsened over the last month. Complaint reference 94.,Health
A serious problem related to clinic has been observed. Complaint reference 95.,Health
Urgent attention required for medicine in the residential area. Complaint reference 96.,Health
Residents reported a sanitation issue near the central market. Complaint reference 97.,Health
Repeated requests have been made to resolve the doctor issue. Complaint reference 98.,Health
People in the locality are concerned about medicine. Complaint reference 99.,Health
Residents reported a medicine issue near the central market. Complaint reference 100.,Health
Residents reported a clinic issue near the central market. Complaint reference 101.,Health
Urgent attention required for medicine in the residential area. Complaint reference 102.,Health
The local authority should inspect the Hospital immediately. Complaint reference 103.,Health
Repeated requests have been made to resolve the clinic issue. Complaint reference 104.,Health
Multiple complaints received regarding medicine this week. Complaint reference 105.,Health
A serious problem related to health center has been observed. Complaint reference 106.,Health
Citizens complained about dengue causing inconvenience. Complaint reference 107.,Health
People in the locality are concerned about doctor. Complaint reference 108.,Health
A serious problem related to health center has been observed. Complaint reference 109.,Health
Public safety is affected due to health center. Complaint reference 110.,Health
Urgent attention required for medicine in the residential area. Complaint reference 111.,Health
Public safety is affected due to clinic. Complaint reference 112.,Health
Public safety is affected due to sanitation. Complaint reference 113.,Health
The condition of medical waste has worsened over the last month. Complaint reference 114.,Health
Urgent attention required for Hospital in the residential area. Complaint reference 115.,Health
Public safety is affected due to Hospital. Complaint reference 116.,Health
Urgent attention required for sanitation in the residential area. Complaint reference 117.,Health
A serious problem related to medicine has been observed. Complaint reference 118.,Health
Repeated requests have been made to resolve the medicine issue. Complaint reference 119.,Health
Citizens complained about health center causing inconvenience. Complaint reference 120.,Health
Citizens complained about medical waste causing inconvenience. Complaint reference 121.,Health
The condition of vaccination has worsened over the last month. Complaint reference 122.,Health
Urgent attention required for medicine in the residential area. Complaint reference 123.,Health
Repeated requests have been made to resolve the health center issue. Complaint reference 124.,Health
Residents reported a clinic issue near the central market. Complaint reference 125.,Health
Residents reported a dengue issue near the central market. Complaint reference 126.,Health
A serious problem related to clinic has been observed. Complaint reference 127.,Health
Public safety is affected due to ambulance. Complaint reference 128.,Health
The condition of health center has worsened over the last month. Complaint reference 129.,Health
Public safety is affected due to medicine. Complaint reference 130.,Health
Citizens complained about Hospital causing inconvenience. Complaint reference 131.,Health
Residents reported a medical waste issue near the central market. Complaint reference 132.,Health
Multiple complaints received regarding medical waste this week. Complaint reference 133.,Health
Multiple complaints received regarding health center this week. Complaint reference 134.,Health
Repeated requests have been made to resolve the medical waste issue. Complaint reference 135.,Health
Citizens complained about health center causing inconvenience. Complaint reference 136.,Health
Multiple complaints received regarding medicine this week. Complaint reference 137.,Health
Residents reported a medicine issue near the central market. Complaint reference 138.,Health
Repeated requests have been made to resolve the doctor issue. Complaint reference 139.,Health
The local authority should inspect the Hospital immediately. Complaint reference 140.,Health
Residents reported a Hospital issue near the central market. Complaint reference 141.,Health
The condition of doctor has worsened over the last month. Complaint reference 142.,Health
Repeated requests have been made to resolve the dengue issue. Complaint reference 143.,Health
Residents reported a ambulance issue near the central market. Complaint reference 144.,Health
Urgent attention required for dengue in the residential area. Complaint reference 145.,Health
Urgent attention required for ambulance in the residential area. Complaint reference 146.,Health
Urgent attention required for doctor in the residential area. Complaint reference 147.,Health
Public safety is affected due to medicine. Complaint reference 148.,Health
People in the locality are concerned about clinic. Complaint reference 149.,Health
People in the locality are concerned about medicine. Complaint reference 150.,Health
Residents reported a doctor issue near the central market. Complaint reference 151.,Health
Urgent attention required for doctor in the residential area. Complaint reference 152.,Health
People in the locality are concerned about medical waste. Complaint reference 153.,Health
Repeated requests have been made to resolve the doctor issue. Complaint reference 154.,Health
Multiple complaints received regarding sanitation this week. Complaint reference 155.,Health
The local authority should inspect the medicine immediately. Complaint reference 156.,Health
Multiple complaints received regarding medicine this week. Complaint reference 157.,Health
Citizens complained about medical waste causing inconvenience. Complaint reference 158.,Health
The condition of vaccination has worsened over the last month. Complaint reference 159.,Health
Urgent attention required for sanitation in the residential area. Complaint reference 160.,Health
The condition of Hospital has worsened over the last month. Complaint reference 161.,Health
People in the locality are concerned about doctor. Complaint reference 162.,Health
Urgent attention required for clinic in the residential area. Complaint reference 163.,Health
A serious problem related to dengue has been observed. Complaint reference 164.,Health
Multiple complaints received regarding dengue this week. Complaint reference 165.,Health
The local authority should inspect the ambulance immediately. Complaint reference 166.,Health
A serious problem related to clinic has been observed. Complaint reference 167.,Health
Multiple complaints received regarding sanitation this week. Complaint reference 168.,Health
The condition of ambulance has worsened over the last month. Complaint reference 169.,Health
Multiple complaints received regarding dengue this week. Complaint reference 170.,Health
Repeated requests have been made to resolve the doctor issue. Complaint reference 171.,Health
Repeated requests have been made to resolve the Hospital issue. Complaint reference 172.,Health
Urgent attention required for vaccination in the residential area. Complaint reference 173.,Health
Multiple complaints received regarding ambulance this week. Complaint reference 174.,Health
Urgent attention required for clinic in the residential area. Complaint reference 175.,Health
Citizens complained about dengue causing inconvenience. Complaint reference 176.,Health
Multiple complaints received regarding vaccination this week. Complaint reference 177.,Health
A serious problem related to doctor has been observed. Complaint reference 178.,Health
A serious problem related to sanitation has been observed. Complaint reference 179.,Health
Repeated requests have been made to resolve the vaccination issue. Complaint reference 180.,Health
Multiple complaints received regarding health center this week. Complaint reference 181.,Health
Urgent attention required for Hospital in the residential area. Complaint reference 182.,Health
Multiple complaints received regarding medical waste this week. Complaint reference 183.,Health
Residents reported a Hospital issue near the central market. Complaint reference 184.,Health
Citizens complained about sanitation causing inconvenience. Complaint reference 185.,Health
Citizens complained about vaccination causing inconvenience. Complaint reference 186.,Health
Repeated requests have been made to resolve the health center issue. Complaint reference 187.,Health
Repeated requests have been made to resolve the medical waste issue. Complaint reference 188.,Health
Urgent attention required for Hospital in the residential area. Complaint reference 189.,Health
Citizens complained about clinic causing inconvenience. Complaint reference 190.,Health
Residents reported a dengue issue near the central market. Complaint reference 191.,Health
People in the locality are concerned about sanitation. Complaint reference 192.,Health
Citizens complained about dengue causing inconvenience. Complaint reference 193.,Health
Citizens complained about medical waste causing inconvenience. Complaint reference 194.,Health
Multiple complaints received regarding Hospital this week. Complaint reference 195.,Health
Residents reported a sanitation issue near the central market. Complaint reference 196.,Health
A serious problem related to sanitation has been observed. Complaint reference 197.,Health
Urgent attention required for medicine in the residential area. Complaint reference 198.,Health
Repeated requests have been made to resolve the sanitation issue. Complaint reference 199.,Health
People in the locality are concerned about medical waste. Complaint reference 200.,Health
A serious problem related to guard has been observed. Complaint reference 1.,Safety
Citizens complained about guard causing inconvenience. Complaint reference 2.,Safety
Residents reported a handrail issue near the central market. Complaint reference 3.,Safety
The local authority should inspect the guard immediately. Complaint reference 4.,Safety
A serious problem related to handrail has been observed. Complaint reference 5.,Safety
Citizens complained about helmet causing inconvenience. Complaint reference 6.,Safety
Public safety is affected due to security camera. Complaint reference 7.,Safety
The condition of fire exit has worsened over the last month. Complaint reference 8.,Safety
A serious problem related to alarm has been observed. Complaint reference 9.,Safety
The local authority should inspect the elevator immediately. Complaint reference 10.,Safety
A serious problem related to helmet has been observed. Complaint reference 11.,Safety
Residents reported a alarm issue near the central market. Complaint reference 12.,Safety
Public safety is affected due to alarm. Complaint reference 13.,Safety
Multiple complaints received regarding gas leak this week. Complaint reference 14.,Safety
Multiple complaints received regarding security camera this week. Complaint reference 15.,Safety
Repeated requests have been made to resolve the gas leak issue. Complaint reference 16.,Safety
Repeated requests have been made to resolve the handrail issue. Complaint reference 17.,Safety
Residents reported a gas leak issue near the central market. Complaint reference 18.,Safety
Multiple complaints received regarding security camera this week. Complaint reference 19.,Safety
People in the locality are concerned about guard. Complaint reference 20.,Safety
Residents reported a helmet issue near the central market. Complaint reference 21.,Safety
People in the locality are concerned about security camera. Complaint reference 22.,Safety
The local authority should inspect the handrail immediately. Complaint reference 23.,Safety
Public safety is affected due to gas leak. Complaint reference 24.,Safety
Repeated requests have been made to resolve the warning sign issue. Complaint reference 25.,Safety
Public safety is affected due to security camera. Complaint reference 26.,Safety
A serious problem related to warning sign has been observed. Complaint reference 27.,Safety
Residents reported a helmet issue near the central market. Complaint reference 28.,Safety
Residents reported a handrail issue near the central market. Complaint reference 29.,Safety
Repeated requests have been made to resolve the playground issue. Complaint reference 30.,Safety
The local authority should inspect the alarm immediately. Complaint reference 31.,Safety
Urgent attention required for handrail in the residential area. Complaint reference 32.,Safety
People in the locality are concerned about gas leak. Complaint reference 33.,Safety
Urgent attention required for gas leak in the residential area. Complaint reference 34.,Safety
Repeated requests have been made to resolve the helmet issue. Complaint reference 35.,Safety
Public safety is affected due to helmet. Complaint reference 36.,Safety
Public safety is affected due to gas leak. Complaint reference 37.,Safety
Repeated requests have been made to resolve the helmet issue. Complaint reference 38.,Safety
A serious problem related to guard has been observed. Complaint reference 39.,Safety
Public safety is affected due to handrail. Complaint reference 40.,Safety
People in the locality are concerned about guard. Complaint reference 41.,Safety
Multiple complaints received regarding warning sign this week. Complaint reference 42.,Safety
Repeated requests have been made to resolve the handrail issue. Complaint reference 43.,Safety
Multiple complaints received regarding fire exit this week. Complaint reference 44.,Safety
A serious problem related to helmet has been observed. Complaint reference 45.,Safety
People in the locality are concerned about handrail. Complaint reference 46.,Safety
The local authority should inspect the warning sign immediately. Complaint reference 47.,Safety
The condition of elevator has worsened over the last month. Complaint reference 48.,Safety
A serious problem related to elevator has been observed. Complaint reference 49.,Safety
The condition of playground has worsened over the last month. Complaint reference 50.,Safety
Urgent attention required for guard in the residential area. Complaint reference 51.,Safety
Repeated requests have been made to resolve the helmet issue. Complaint reference 52.,Safety
The local authority should inspect the warning sign immediately. Complaint reference 53.,Safety
A serious problem related to security camera has been observed. Complaint reference 54.,Safety
A serious problem related to helmet has been observed. Complaint reference 55.,Safety
Citizens complained about alarm causing inconvenience. Complaint reference 56.,Safety
Residents reported a fire exit issue near the central market. Complaint reference 57.,Safety
The condition of alarm has worsened over the last month. Complaint reference 58.,Safety
Urgent attention required for warning sign in the residential area. Complaint reference 59.,Safety
Public safety is affected due to elevator. Complaint reference 60.,Safety
A serious problem related to warning sign has been observed. Complaint reference 61.,Safety
The condition of handrail has worsened over the last month. Complaint reference 62.,Safety
A serious problem related to handrail has been observed. Complaint reference 63.,Safety
Residents reported a guard issue near the central market. Complaint reference 64.,Safety
Public safety is affected due to security camera. Complaint reference 65.,Safety
Citizens complained about alarm causing inconvenience. Complaint reference 66.,Safety
The condition of playground has worsened over the last month. Complaint reference 67.,Safety
Repeated requests have been made to resolve the fire exit issue. Complaint reference 68.,Safety
Urgent attention required for alarm in the residential area. Complaint reference 69.,Safety
Citizens complained about elevator causing inconvenience. Complaint reference 70.,Safety
Repeated requests have been made to resolve the elevator issue. Complaint reference 71.,Safety
People in the locality are concerned about playground. Complaint reference 72.,Safety
The condition of gas leak has worsened over the last month. Complaint reference 73.,Safety
Repeated requests have been made to resolve the warning sign issue. Complaint reference 74.,Safety
Repeated requests have been made to resolve the handrail issue. Complaint reference 75.,Safety
Citizens complained about elevator causing inconvenience. Complaint reference 76.,Safety
The condition of elevator has worsened over the last month. Complaint reference 77.,Safety
A serious problem related to helmet has been observed. Complaint reference 78.,Safety
Repeated requests have been made to resolve the helmet issue. Complaint reference 79.,Safety
A serious problem related to elevator has been observed. Complaint reference 80.,Safety
The condition of helmet has worsened over the last month. Complaint reference 81.,Safety
Multiple complaints received regarding security camera this week. Complaint reference 82.,Safety
Multiple complaints received regarding alarm this week. Complaint reference 83.,Safety
The local authority should inspect the gas leak immediately. Complaint reference 84.,Safety
Urgent attention required for playground in the residential area. Complaint reference 85.,Safety
Citizens complained about guard causing inconvenience. Complaint reference 86.,Safety
Public safety is affected due to alarm. Complaint reference 87.,Safety
A serious problem related to guard has been observed. Complaint reference 88.,Safety
Public safety is affected due to security camera. Complaint reference 89.,Safety
The local authority should inspect the handrail immediately. Complaint reference 90.,Safety
The condition of playground has worsened over the last month. Complaint reference 91.,Safety
Residents reported a handrail issue near the central market. Complaint reference 92.,Safety
Public safety is affected due to alarm. Complaint reference 93.,Safety
People in the locality are concerned about handrail. Complaint reference 94.,Safety
People in the locality are concerned about fire exit. Complaint reference 95.,Safety
The condition of handrail has worsened over the last month. Complaint reference 96.,Safety
The local authority should inspect the fire exit immediately. Complaint reference 97.,Safety
Public safety is affected due to helmet. Complaint reference 98.,Safety
Repeated requests have been made to resolve the handrail issue. Complaint reference 99.,Safety
People in the locality are concerned about playground. Complaint reference 100.,Safety
The condition of alarm has worsened over the last month. Complaint reference 101.,Safety
Multiple complaints received regarding alarm this week. Complaint reference 102.,Safety
The condition of handrail has worsened over the last month. Complaint reference 103.,Safety
Public safety is affected due to fire exit. Complaint reference 104.,Safety
Public safety is affected due to gas leak. Complaint reference 105.,Safety
The condition of guard has worsened over the last month. Complaint reference 106.,Safety
People in the locality are concerned about guard. Complaint reference 107.,Safety
Residents reported a playground issue near the central market. Complaint reference 108.,Safety
People in the locality are concerned about handrail. Complaint reference 109.,Safety
Residents reported a warning sign issue near the central market. Complaint reference 110.,Safety
Public safety is affected due to security camera. Complaint reference 111.,Safety
The condition of guard has worsened over the last month. Complaint reference 112.,Safety
Residents reported a guard issue near the central market. Complaint reference 113.,Safety
Public safety is affected due to helmet. Complaint reference 114.,Safety
A serious problem related to gas leak has been observed. Complaint reference 115.,Safety
The local authority should inspect the elevator immediately. Complaint reference 116.,Safety
Public safety is affected due to gas leak. Complaint reference 117.,Safety
Public safety is affected due to helmet. Complaint reference 118.,Safety
Urgent attention required for helmet in the residential area. Complaint reference 119.,Safety
Residents reported a elevator issue near the central market. Complaint reference 120.,Safety
Residents reported a playground issue near the central market. Complaint reference 121.,Safety
A serious problem related to gas leak has been observed. Complaint reference 122.,Safety
Residents reported a security camera issue near the central market. Complaint reference 123.,Safety
A serious problem related to fire exit has been observed. Complaint reference 124.,Safety
Residents reported a alarm issue near the central market. Complaint reference 125.,Safety
Citizens complained about warning sign causing inconvenience. Complaint reference 126.,Safety
Citizens complained about alarm causing inconvenience. Complaint reference 127.,Safety
Urgent attention required for elevator in the residential area. Complaint reference 128.,Safety
A serious problem related to warning sign has been observed. Complaint reference 129.,Safety
Multiple complaints received regarding elevator this week. Complaint reference 130.,Safety
Citizens complained about gas leak causing inconvenience. Complaint reference 131.,Safety
People in the locality are concerned about warning sign. Complaint reference 132.,Safety
Citizens complained about security camera causing inconvenience. Complaint reference 133.,Safety
Urgent attention required for helmet in the residential area. Complaint reference 134.,Safety
Residents reported a warning sign issue near the central market. Complaint reference 135.,Safety
People in the locality are concerned about helmet. Complaint reference 136.,Safety
Public safety is affected due to handrail. Complaint reference 137.,Safety
Urgent attention required for alarm in the residential area. Complaint reference 138.,Safety
A serious problem related to warning sign has been observed. Complaint reference 139.,Safety
Multiple complaints received regarding security camera this week. Complaint reference 140.,Safety
Urgent attention required for warning sign in the residential area. Complaint reference 141.,Safety
Residents reported a warning sign issue near the central market. Complaint reference 142.,Safety
Repeated requests have been made to resolve the gas leak issue. Complaint reference 143.,Safety
The local authority should inspect the handrail immediately. Complaint reference 144.,Safety
Repeated requests have been made to resolve the security camera issue. Complaint reference 145.,Safety
Residents reported a gas leak issue near the central market. Complaint reference 146.,Safety
The condition of handrail has worsened over the last month. Complaint reference 147.,Safety
Public safety is affected due to security camera. Complaint reference 148.,Safety
The condition of gas leak has worsened over the last month. Complaint reference 149.,Safety
Public safety is affected due to guard. Complaint reference 150.,Safety
Repeated requests have been made to resolve the guard issue. Complaint reference 151.,Safety
People in the locality are concerned about helmet. Complaint reference 152.,Safety
The condition of playground has worsened over the last month. Complaint reference 153.,Safety
Public safety is affected due to elevator. Complaint reference 154.,Safety
Multiple complaints received regarding warning sign this week. Complaint reference 155.,Safety
A serious problem related to gas leak has been observed. Complaint reference 156.,Safety
Multiple complaints received regarding security camera this week. Complaint reference 157.,Safety
A serious problem related to elevator has been observed. Complaint reference 158.,Safety
People in the locality are concerned about elevator. Complaint reference 159.,Safety
Public safety is affected due to warning sign. Complaint reference 160.,Safety
Residents reported a gas leak issue near the central market. Complaint reference 161.,Safety
The local authority should inspect the elevator immediately. Complaint reference 162.,Safety
The condition of guard has worsened over the last month. Complaint reference 163.,Safety
The local authority should inspect the alarm immediately. Complaint reference 164.,Safety
The local authority should inspect the helmet immediately. Complaint reference 165.,Safety
People in the locality are concerned about helmet. Complaint reference 166.,Safety
Repeated requests have been made to resolve the helmet issue. Complaint reference 167.,Safety
Repeated requests have been made to resolve the fire exit issue. Complaint reference 168.,Safety
Urgent attention required for alarm in the residential area. Complaint reference 169.,Safety
Public safety is affected due to alarm. Complaint reference 170.,Safety
Repeated requests have been made to resolve the elevator issue. Complaint reference 171.,Safety
The condition of alarm has worsened over the last month. Complaint reference 172.,Safety
The condition of elevator has worsened over the last month. Complaint reference 173.,Safety
Urgent attention required for fire exit in the residential area. Complaint reference 174.,Safety
A serious problem related to helmet has been observed. Complaint reference 175.,Safety
A serious problem related to handrail has been observed. Complaint reference 176.,Safety
People in the locality are concerned about helmet. Complaint reference 177.,Safety
The condition of gas leak has worsened over the last month. Complaint reference 178.,Safety
Repeated requests have been made to resolve the playground issue. Complaint reference 179.,Safety
Public safety is affected due to gas leak. Complaint reference 180.,Safety
The local authority should inspect the playground immediately. Complaint reference 181.,Safety
The condition of gas leak has worsened over the last month. Complaint reference 182.,Safety
Multiple complaints received regarding helmet this week. Complaint reference 183.,Safety
A serious problem related to helmet has been observed. Complaint reference 184.,Safety
A serious problem related to security camera has been observed. Complaint reference 185.,Safety
Urgent attention required for gas leak in the residential area. Complaint reference 186.,Safety
Citizens complained about playground causing inconvenience. Complaint reference 187.,Safety
A serious problem related to alarm has been observed. Complaint reference 188.,Safety
Multiple complaints received regarding elevator this week. Complaint reference 189.,Safety
Repeated requests have been made to resolve the warning sign issue. Complaint reference 190.,Safety
Multiple complaints received regarding warning sign this week. Complaint reference 191.,Safety
A serious problem related to security camera has been observed. Complaint reference 192.,Safety
A serious problem related to helmet has been observed. Complaint reference 193.,Safety
Citizens complained about gas leak causing inconvenience. Complaint reference 194.,Safety
Residents reported a helmet issue near the central market. Complaint reference 195.,Safety
Citizens complained about playground causing inconvenience. Complaint reference 196.,Safety
Residents reported a helmet issue near the central market. Complaint reference 197.,Safety
Repeated requests have been made to resolve the fire exit issue. Complaint reference 198.,Safety
Citizens complained about helmet causing inconvenience. Complaint reference 199.,Safety
Urgent attention required for elevator in the residential area. Complaint reference 200.,Safety
People in the locality are concerned about bus. Complaint reference 1.,Transport
The condition of ticket has worsened over the last month. Complaint reference 2.,Transport
The condition of ferry has worsened over the last month. Complaint reference 3.,Transport
Citizens complained about station causing inconvenience. Complaint reference 4.,Transport
Multiple complaints received regarding bus this week. Complaint reference 5.,Transport
Urgent attention required for ferry in the residential area. Complaint reference 6.,Transport
Public safety is affected due to metro. Complaint reference 7.,Transport
Urgent attention required for ferry in the residential area. Complaint reference 8.,Transport
Residents reported a traffic issue near the central market. Complaint reference 9.,Transport
Citizens complained about train causing inconvenience. Complaint reference 10.,Transport
Multiple complaints received regarding traffic this week. Complaint reference 11.,Transport
A serious problem related to metro has been observed. Complaint reference 12.,Transport
Repeated requests have been made to resolve the metro issue. Complaint reference 13.,Transport
People in the locality are concerned about airport. Complaint reference 14.,Transport
People in the locality are concerned about traffic. Complaint reference 15.,Transport
Repeated requests have been made to resolve the taxi issue. Complaint reference 16.,Transport
The condition of airport has worsened over the last month. Complaint reference 17.,Transport
Multiple complaints received regarding ferry this week. Complaint reference 18.,Transport
Public safety is affected due to traffic. Complaint reference 19.,Transport
People in the locality are concerned about ticket. Complaint reference 20.,Transport
Residents reported a traffic issue near the central market. Complaint reference 21.,Transport
Urgent attention required for traffic in the residential area. Complaint reference 22.,Transport
A serious problem related to taxi has been observed. Complaint reference 23.,Transport
Urgent attention required for ticket in the residential area. Complaint reference 24.,Transport
A serious problem related to train has been observed. Complaint reference 25.,Transport
Repeated requests have been made to resolve the train issue. Complaint reference 26.,Transport
Citizens complained about metro causing inconvenience. Complaint reference 27.,Transport
Public safety is affected due to bus. Complaint reference 28.,Transport
People in the locality are concerned about ferry. Complaint reference 29.,Transport
Multiple complaints received regarding ferry this week. Complaint reference 30.,Transport
A serious problem related to bus has been observed. Complaint reference 31.,Transport
Multiple complaints received regarding ticket this week. Complaint reference 32.,Transport
Urgent attention required for ferry in the residential area. Complaint reference 33.,Transport
Multiple complaints received regarding taxi this week. Complaint reference 34.,Transport
A serious problem related to traffic has been observed. Complaint reference 35.,Transport
Urgent attention required for airport in the residential area. Complaint reference 36.,Transport
A serious problem related to schedule has been observed. Complaint reference 37.,Transport
Multiple complaints received regarding train this week. Complaint reference 38.,Transport
Urgent attention required for train in the residential area. Complaint reference 39.,Transport
Citizens complained about bus causing inconvenience. Complaint reference 40.,Transport
People in the locality are concerned about ticket. Complaint reference 41.,Transport
Multiple complaints received regarding traffic this week. Complaint reference 42.,Transport
Urgent attention required for ferry in the residential area. Complaint reference 43.,Transport
Multiple complaints received regarding ferry this week. Complaint reference 44.,Transport
Multiple complaints received regarding airport this week. Complaint reference 45.,Transport
Repeated requests have been made to resolve the schedule issue. Complaint reference 46.,Transport
The condition of ferry has worsened over the last month. Complaint reference 47.,Transport
People in the locality are concerned about metro. Complaint reference 48.,Transport
Public safety is affected due to bus. Complaint reference 49.,Transport
People in the locality are concerned about station. Complaint reference 50.,Transport
Residents reported a ticket issue near the central market. Complaint reference 51.,Transport
A serious problem related to metro has been observed. Complaint reference 52.,Transport
People in the locality are concerned about traffic. Complaint reference 53.,Transport
Multiple complaints received regarding bus this week. Complaint reference 54.,Transport
Residents reported a traffic issue near the central market. Complaint reference 55.,Transport
The condition of train has worsened over the last month. Complaint reference 56.,Transport
The condition of schedule has worsened over the last month. Complaint reference 57.,Transport
Citizens complained about ticket causing inconvenience. Complaint reference 58.,Transport
Public safety is affected due to traffic. Complaint reference 59.,Transport
Urgent attention required for ferry in the residential area. Complaint reference 60.,Transport
The local authority should inspect the ferry immediately. Complaint reference 61.,Transport
The local authority should inspect the airport immediately. Complaint reference 62.,Transport
Urgent attention required for station in the residential area. Complaint reference 63.,Transport
The local authority should inspect the train immediately. Complaint reference 64.,Transport
The condition of airport has worsened over the last month. Complaint reference 65.,Transport
Public safety is affected due to ticket. Complaint reference 66.,Transport
Residents reported a schedule issue near the central market. Complaint reference 67.,Transport
